tconst	directors	writers
tt0011801	nm0681726	nm0483944,nm0681726
tt0035423	nm0003506	nm0737216,nm0003506
tt0038698	nm0572235	
tt0050396	nm0000248	nm0000248
tt0050734	nm0611531	nm0066074,nm0315547,nm0611531
tt0052146	nm0538105	nm0538105
tt0056840	nm0626561	nm1600844,nm0626561,nm1600304
tt0057369	nm0808421	
tt0060361	nm0526609	
tt0060366	nm0206937	
tt0062336	nm0749914,nm0765384	nm0749914,nm1146177
tt0068943	nm0001425	nm0001425
tt0069049	nm0000080	nm0000080,nm0462648
tt0070596	nm0749914,nm0765384	nm0667610,nm0749914,nm0765384
tt0072649	nm0785381	
tt0077684	nm0127908	
tt0080019	nm0006845	nm0006845
tt0082328	nm0596261	nm0707963,nm0596261
tt0083612	nm0782430	nm0782430
tt0088751	nm0078540,nm0628399	nm0628399
tt0089435	nm0016087	
tt0091465	nm0001901	
tt0093119	nm0007013	nm0564651,nm0791007
tt0096056	nm0324875	nm0234502,nm0324875
tt0097304	nm0712422	
tt0097540	nm0749914	nm0749914
tt0097767	nm0560510	
tt0098388	nm0358430	
tt0100275	nm0749914,nm0765384	nm1360635,nm0749914
tt0102362	nm0194363	nm0791108
tt0103781	nm0135210	
tt0107194	nm0918030	nm0918030
tt0108116	nm0444571	nm0010570
tt0108270	nm0451799	
tt0108511	nm0335875	nm0133608,nm0335875
tt0108549	nm1131265,nm1130611	nm1130611
tt0109173	nm0392813	nm0392813
tt0109766	nm0004203	
tt0110476	nm0438671	nm0119888,nm0438671
tt0111056	nm2282696,nm1618147	nm0838572,nm0948412
tt0111414	nm0398271	nm0398271
tt0111522	nm0450181	nm0000875,nm0450181
tt0111596	nm13648797	nm1283850,nm1073524
tt0111696	nm0755171	nm0755143,nm0755171
tt0112502	nm6883878	
tt0112912	nm0373655	
tt0113026	nm0006916	nm0429368,nm0772974
tt0113086	nm0627583	
tt0113092	nm0235012,nm0003644	nm0235012,nm0757682
tt0113506	nm1297149	
tt0113545	nm1127467	nm1127467
tt0113742	nm0680314	
tt0113946	nm0871086	nm0871086
tt0114447	nm0561917	nm0561917
tt0114722	nm0893420	
tt0114755	nm0000958	nm0000958
tt0115686	nm0757081	nm0757081,nm0870313
tt0115874	nm0547897	nm0547897
tt0115937	nm0015681	
tt0116391	nm0451261	
tt0116628	nm0346334	nm0346334,nm0094905
tt0116689	nm0955235	nm2364821
tt0116748	nm0004363	nm0080432,nm1174579,nm0765166
tt0116847		
tt0116991	nm0007037	nm0361069
tt0117163	nm0463924	nm1335624
tt0117461	nm0290651	nm0290651
tt0117707	nm0511432	nm0511432
tt0117743	nm0404033	nm0404033,nm0568495
tt0117825	nm0708913,nm0708917	nm9946626
tt0118141	nm0000417	nm0000417
tt0118154	nm0341170,nm0813655	
tt0118578	nm0765039	nm0409790,nm0796503
tt0118589	nm0193554	nm0921985,nm0486824
tt0118652	nm0440948	nm0551138
tt0118656	nm0334924	nm2212508,nm0334924,nm0681207,nm1970707,nm2072818
tt0118694	nm0939182	nm0939182
tt0118710	nm0063276	nm0063276,nm0164934
tt0118837	nm0000965	nm0388076
tt0118852	nm0000199	nm0507277
tt0118911	nm0321894	nm0081395,nm0321894
tt0118926	nm0000518	nm0787649
tt0119004	nm0730222	nm0039192,nm0065818,nm0730222,nm0836476,nm0923673
tt0119027	nm0732319	nm0732319
tt0119231	nm0818538	nm0818538
tt0119273	nm0170402,nm0501341	nm0247653,nm0084253,nm0847905,nm0127560,nm0313274,nm0591516,nm0651450,nm0881089,nm0532146
tt0119483	nm0459571	nm0459571
tt0119495	nm0298158	nm0298158,nm1593179,nm1244125
tt0119645	nm0116641	nm0116641
tt0119727	nm0764585	nm0764585
tt0119768	nm0624872	nm0262270,nm2034390
tt0119806	nm0254213,nm0403290	nm0254213,nm0403290
tt0119866	nm0005814	nm0005814
tt0119966	nm0002620	nm0002620
tt0119970	nm0483645	nm0067545,nm0483645,nm0002911
tt0119980	nm0217546	nm0217546,nm0604579,nm0169288,nm0060449,nm0211040,nm0408925,nm0512186,nm0444758
tt0120117	nm0151504	nm0151504,nm0442396,nm0661494
tt0120166	nm0514247	nm3694845
tt0120202	nm0000519	nm0000519
tt0120263	nm0027815	nm0027815
tt0120377	nm0168370	nm0168370
tt0120454	nm0958997	
tt0120467	nm0424682	nm0424682
tt0120485	nm0203215	nm0129098,nm0610292
tt0120589	nm0004000	nm0298266,nm1860699
tt0120605		nm0890841
tt0120607	nm0217937	nm0217938
tt0120624	nm0733821	nm0733821,nm0182231
tt0120626	nm0210218	nm0210218,nm0213476
tt0120630	nm0520485,nm0661910	nm0520485,nm0661910,nm0456732,nm0123666,nm0640976
tt0120667	nm1103162	nm0004111,nm0289833,nm0498278,nm0456158
tt0120673	nm0123269	nm0123269
tt0120679	nm0853380	nm0380419,nm0797397,nm1187860,nm0622695,nm0858482
tt0120681	nm0400436,nm0400441	nm0600872,nm0132427,nm0371249,nm0947913
tt0120698	nm0915394	nm0064174
tt0120700	nm3179970	nm3179970
tt0120713	nm0337242	
tt0120729		nm0150396,nm0393714
tt0120733	nm0212593	nm0504327,nm0748429,nm0062126,nm0000875
tt0120737	nm0001392	nm0866058,nm0909638,nm0101991,nm0001392
tt0120753	nm0000694	nm0458911,nm0095104
tt0120755	nm0000247	nm0312367,nm0601822,nm0103804,nm0001801
tt0120804	nm0027271	nm0027271
tt0120807	nm0215769	nm0168613,nm0640470
tt0120824	nm0002120	nm0698925,nm0414608
tt0120870	nm0650381	nm0566044,nm0650381,nm0136012,nm1176404
tt0120903	nm0001741	nm0220892,nm0001741,nm0371684
tt0120912	nm0001756	nm0192384,nm0330565,nm0266673
tt0120913	nm0089940,nm0325776	nm0061829,nm0566595,nm0249421,nm0041864,nm0923736
tt0120917	nm0227540	nm0930261,nm0227540,nm0721675,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559
tt0121076		
tt0121164	nm0000318,nm0425843	nm0000318,nm0335022,nm0041864,nm0003031,nm0972040
tt0121569	nm3084782	nm3084782
tt0121609	nm0138844	
tt0121687	nm2040451	nm2040451
tt0121765	nm0000184	nm0000184,nm0355054
tt0121766	nm0000184	nm0000184
tt0121919	nm1011907	
tt0122247	nm0806102	nm1257251,nm0806102
tt0122459	nm0001372	nm0001372,nm0482141,nm0827632,nm0329224
tt0122936	nm0163840	
tt0123003	nm0000511	nm0162350
tt0123063	nm0725257	nm1089007,nm0725257
tt0123581	nm0602333	nm0227572
tt0123783	nm0496928	nm0031080
tt0123836	nm1266705	nm1266705
tt0124278		nm4376097,nm0925239
tt0124798	nm6659150	nm0647939
tt0124889	nm0562344	nm0562344
tt0125022	nm0592400	nm0242743,nm0345488,nm0563397
tt0125741	nm0652579	nm0652579
tt0126029	nm0011470,nm0421776	nm0825308,nm0254645,nm0744429,nm0830294,nm0776107,nm0970606,nm1844237,nm0970447
tt0126486	nm0227584	nm1023574
tt0126899	nm0325189	nm1363018
tt0127283	nm0595532	
tt0127349	nm0330360	nm0818098,nm0226889
tt0128129	nm0297662,nm0417306	
tt0128154	nm0040252	nm0040252
tt0128158	nm0224084	nm0224084,nm0278839
tt0128165	nm1257937	nm0520189
tt0128216	nm0163562	nm0163562
tt0128234	nm0788191	nm2466594
tt0128585		
tt0128783	nm0235113	nm0235113
tt0128997	nm0610612	
tt0129095	nm0136296	nm0616734
tt0129402	nm0197688	nm0197688
tt0130071	nm0838006	
tt0130145	nm0255360,nm1291584,nm1164886	nm2557405,nm0255360
tt0130186	nm0656860	
tt0130255	nm0435050	nm2053461
tt0130458	nm0246349	
tt0130623	nm0500343,nm0957798	nm0365666,nm0414608,nm0338396,nm0258059,nm0957798,nm0682473,nm1073262
tt0130925	nm0289758	
tt0130975	nm0289758	
tt0131002	nm0811296	
tt0131025	nm0289758	
tt0131076	nm0289758	
tt0131096	nm0175126	
tt0131266		
tt0131370	nm0771515	nm3750729,nm0771515
tt0131597	nm0080719	nm0080719
tt0131704	nm0005197	nm0911599,nm0518836
tt0132078	nm0874358	nm0294967
tt0132245	nm0001317	nm0804847,nm0845844,nm0000230
tt0132885	nm0051284,nm0051285	nm0051284,nm0051285,nm0216834
tt0132910	nm0620576	nm0639335,nm0423715
tt0132920	nm0473488	nm0583488,nm1114284
tt0132942	nm0322976	nm0322976
tt0133063	nm0576666	nm1633096,nm0576666,nm0871293
tt0133152	nm0000318	nm0099541,nm0115310,nm0465199,nm0742797
tt0133240	nm0166256,nm0615780	nm0829044,nm0166256,nm0615780,nm0972395,nm0254645,nm0744429
tt0133563	nm2738432	
tt0133696	nm0229261	nm0229261
tt0133858	nm0528963	nm0528963
tt0134084	nm0000127	nm0932078,nm0472567
tt0134516	nm1104292	
tt0134630	nm0001591	nm0126440
tt0134847	nm0878638	nm0003117,nm0923646,nm0878638
tt0134983	nm0001353,nm0000338,nm0794791	nm0540532,nm0160935,nm0933276
tt0135240		
tt0135356	nm1033901	nm0545171
tt0135707	nm0791140	nm3900943,nm0360775
tt0135986	nm5354436,nm2713637	nm1159626,nm1712323
tt0135991	nm6032566	nm0335238
tt0136517	nm0005703	nm0185448,nm0263124,nm2700856,nm0001153
tt0136666	nm0641737	nm0641737
tt0137115	nm0855066	nm0855066
tt0137140	nm0706271	nm0706271
tt0137204	nm0365480	nm0365480
tt0137210	nm0941956	nm0941956
tt0137268	nm0225068	nm0225068,nm0414481
tt0137300		
tt0137441	nm0308595	nm0308595,nm0412479,nm0708480
tt0137698	nm1530387	
tt0137775	nm0584489	
tt0137818	nm0638396	nm0309225,nm0638396
tt0138288	nm0479055	nm0479055,nm0528642
tt0138353	nm0664499	nm0542493
tt0138408	nm0684879	nm0684879
tt0138432	nm0776327	nm0202613
tt0138433	nm0658486	nm0165987,nm0658486
tt0138524	nm0001054,nm0001053	nm0709070,nm0832043,nm0738908,nm0001053,nm0001054
tt0138583	nm1026114	nm1026114
tt0138631	nm0614195	nm0853017
tt0138655	nm0283234	nm0283234
tt0138749	nm0074426,nm0666802,nm0005076	nm0254645,nm0744429,nm0456732,nm0493857
tt0138818	nm0337806	nm0316330
tt0138856	nm0079848,nm1048520	nm1297767,nm2148606
tt0138927	nm0075727	nm0075727
tt0138946	nm0336695	nm0336695,nm0716257
tt0138992	nm0841888	nm0000948
tt0139159	nm0475371	nm0326611
tt0139297		
tt0139388	nm0270090	nm0270090
tt0139479	nm0067268	nm0849825
tt0139494	nm0871735	
tt0139500	nm0182276	
tt0139514	nm0328584,nm2134170,nm0683768	
tt0139613	nm0518037,nm0023406	
tt0139654	nm0298807	nm0043742
tt0140806	nm0004001	nm0121750,nm0007110
tt0141120	nm0413465	nm0413465,nm0853715
tt0141399	nm0000921	nm0466107,nm0397411
tt0141647	nm0844135	
tt0141800	nm0358430	
tt0141907	nm0155093	nm0490861,nm0377750
tt0141926	nm0609236	nm0609236,nm0599924,nm0043742
tt0142155	nm1087791	
tt0142261	nm0646397	nm3925348,nm0596796,nm0646397,nm0885433
tt0142634	nm0849587	nm0664727
tt0142650	nm0332467	nm0332467
tt0143196	nm0646690	nm2235407,nm7952826,nm0646690
tt0143344	nm0235387	nm0235387,nm0828603
tt0143558	nm2836167	nm2836167
tt0143861	nm0695629	
tt0144084	nm0366004	nm0254735,nm0366004,nm0877587
tt0144096	nm0003423	nm0251872,nm0089982,nm0482141,nm0131661,nm0395924
tt0144136	nm0103029	
tt0144142	nm0472495	nm0472495
tt0144189	nm0249919	nm0249919
tt0144280	nm0628399	nm0628399
tt0144449	nm0309428	nm2898786
tt0144528	nm0781842	nm0001471,nm0644203,nm0087904,nm0790775,nm0919369,nm0919363
tt0144574	nm0454432	nm0454432
tt0144608	nm0414312,nm0725572	nm0938787,nm17059068,nm0514880
tt0144613	nm0133326,nm0729086	nm0133326,nm0729086
tt0144645		nm0358228
tt0144678	nm0737367	nm0095590,nm0095591
tt0144940	nm0224910	nm0224910
tt0144964	nm0007439	nm0927074,nm0077171,nm0395741,nm0659949,nm0812373
tt0145272	nm0318747	nm0421214
tt0145276		
tt0145467	nm0875012	nm1003819
tt0145487	nm0000600	nm0498278,nm0228492,nm0462895
tt0145620	nm0133247,nm1279521	nm0182196,nm2210705
tt0145882	nm0440361	
tt0145883	nm2201690	nm2201690
tt0145937	nm0716585	nm0716585
tt0146063	nm0841610	nm0048194,nm0188580,nm0325982,nm0841610
tt0146272	nm0413882	nm0413882
tt0146309	nm0002044	nm0783100,nm0561943,nm0954546
tt0146316	nm0922346	nm0153384,nm0108273,nm0171718,nm0922346,nm0557266,nm0957003
tt0146592	nm1030585	nm1030585,nm1921430
tt0146682	nm0699738	nm0401736,nm0699738
tt0146803	nm0111958	nm0111958
tt0146882	nm0001241	nm0394984,nm0222584,nm0684336,nm0000131,nm0003298
tt0146984	nm0000602	nm0696267,nm0505230
tt0147447		
tt0147470	nm0258007	
tt0147486	nm0701245	nm0361962,nm0540220,nm0701245
tt0148095	nm0003536	nm10693774,nm0003536
tt0148403	nm0520721	nm0520721
tt0148415	nm0766578	nm0175145,nm0227753
tt0148421	nm0203429	nm0325528,nm0374929,nm0203429
tt0148516	nm0367339	
tt0149253	nm0784805	nm0784805
tt0149367	nm0437709	nm0296861,nm0510229,nm0142154
tt0149624	nm0000671	nm0565092,nm0848217
tt0150021	nm0005077	nm0000671,nm0258370,nm0770046
tt0150683	nm0019464	nm0019464,nm1195250,nm5208525
tt0151018	nm0234801	nm0234801
tt0151150	nm0451257	nm0438089,nm0451257,nm1210960,nm0903423
tt0151187	nm5720183	nm5721686,nm7005055
tt0151299	nm0813278	nm0071846,nm0813278,nm0819527
tt0151309	nm0003784	nm0497309,nm0003784
tt0151372	nm0638709	nm0504576,nm0638709,nm0638712
tt0151379	nm0009991	nm0009991,nm1088301
tt0151685	nm0032741	nm0032741
tt0152083	nm0078233	nm0078233
tt0152167	nm0027730,nm0027640	
tt0152762	nm0193721	nm0193721
tt0152772	nm0938142	
tt0153012	nm0112915,nm0803524	nm0112915
tt0153098	nm0132414	nm0132414
tt0153100	nm5384247	nm5384247,nm0537551
tt0153140	nm0879436	nm0879436,nm2842908,nm3139742
tt0153159		
tt0153340		
tt0153405		
tt0153433		
tt0153464	nm0351993	nm0560857,nm0351911
tt0153516	nm1103107	
tt0153517		
tt0153533	nm0907187	
tt0153821	nm0103186	nm0103186
tt0153932	nm2027034	
tt0154039	nm0417352	nm0417352
tt0154065	nm0556498	nm0158578
tt0154187	nm0563058	nm0262381,nm0563058
tt0154352	nm0573796	nm0174364,nm0573796
tt0154605	nm0203919	
tt0155150	nm0077855	nm2095681
tt0155174	nm0040898	nm0040898,nm4460419
tt0155377	nm1015788	
tt0155425	nm0028542,nm0818237,nm0316748,nm0036934,nm0003478,nm0144301,nm0585317,nm0760508,nm0875591,nm0884306,nm0948550,nm0950956	nm0000339,nm0627537,nm0313095,nm0349205,nm1665958,nm0274559,nm0705802,nm0002973,nm0827097,nm2531994
tt0156020	nm0276823	nm0276823,nm15805205
tt0156035	nm0381841	nm0381841
tt0156100	nm0912719	nm0912719
tt0156263	nm0212918	
tt0156323	nm0018735,nm0438989	nm0018735,nm0438989
tt0156376	nm0126032	nm0126032,nm0313416
tt0156741	nm0095868	nm0095868,nm0095869
tt0156757	nm0287161	nm0287161
tt0156807	nm0000635	nm0000635,nm0730000
tt0156812	nm0751221	nm0607009,nm0318343
tt0156841	nm0772259	nm0740568
tt0156942	nm0470323	nm0470323,nm0851055,nm0953760
tt0157007	nm0542126	nm0542126,nm0771616
tt0157122	nm0880521	nm0000005
tt0157191	nm0001568	nm0001568,nm0076791
tt0157202	nm0459828	nm0459828
tt0157262	nm0326161	nm0790474,nm0223754,nm0524442
tt0157472	nm0000408	nm0373154,nm0373151,nm0826425,nm0918955
tt0157500	nm0502959	nm0502959
tt0157583	nm0000776	nm0365249,nm0001779
tt0157836	nm0816074	nm0465756,nm0816074
tt0158033	nm0614584	nm0534696,nm0614584,nm0826437
tt0158388		
tt0158429	nm0159148	
tt0158581	nm0379775,nm0391502	nm0379775,nm0391502
tt0158622	nm0505152	nm0360253,nm0053484,nm0438226,nm0253323,nm0143596,nm0258390
tt0158721		
tt0158871	nm0707184	nm0196930,nm0707184
tt0159230	nm0845832	nm0219790
tt0159254	nm0311926	nm0311926
tt0159273	nm0601382	nm0859029,nm0859049,nm0892705,nm0672015
tt0159290	nm0209010	nm0582808
tt0159291	nm0533383	nm0004801
tt0159365	nm0005237	nm0292565,nm0005237
tt0159369	nm0611850	nm0611850
tt0159371	nm0393450	nm0393450
tt0159378	nm1186560	nm1186560
tt0159396	nm0146977	nm0146977
tt0159503	nm0753572	
tt0159585	nm0006751	
tt0159784	nm0152640	nm0793737,nm0548586,nm0628058,nm0628174,nm0200729,nm0734912
tt0159790	nm0311780	
tt0159799	nm0311780,nm7252079	
tt0160009	nm0240995	nm0063511,nm0058164
tt0160127	nm0629334	nm0746598,nm0004412,nm0041864,nm0324578,nm0730850
tt0160184	nm0318947	nm0842697,nm0109587
tt0160239	nm0635777	nm0635777
tt0160240	nm0129965	nm0129965,nm0770504
tt0160256	nm0320546	nm0432646
tt0160261	nm0369189	nm0237121,nm0369189
tt0160270	nm0310558	nm0310558
tt0160275	nm1077105	nm1077105
tt0160289	nm0705127	nm0860707,nm0704454
tt0160343	nm1250259	nm2000773
tt0160370	nm0311400	nm0472119
tt0160399	nm0001219	nm0001140,nm0003298,nm0143187,nm0472567,nm0878638
tt0160403	nm0450387	nm0929293,nm0450387
tt0160413	nm0364780	nm0364780
tt0160425	nm0007846	nm0007846
tt0160434	nm0466479	nm0466479
tt0160447	nm0692415	nm0157643,nm0572328,nm0471058,nm0128729,nm2797623,nm0632383
tt0160480	nm0081627	nm0081627
tt0160484	nm0001405	nm0307070,nm0821439
tt0160495	nm6497799	nm1129263
tt0160547	nm0115192	nm0115192
tt0160550	nm0954483	nm0815131,nm0954483
tt0160607	nm0692811	nm0692811
tt0160611	nm0642823	nm0826437
tt0160616	nm0566427	nm0566427
tt0160644	nm0075626	nm0060103,nm0275914
tt0160652	nm0132414	nm0144431,nm0003905,nm0094673,nm0132414
tt0160663	nm0770896	nm0770896
