tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0011801	movie	Tötet nicht mehr	Tötet nicht mehr	0	2019.0			Action,Crime
tt0035423	movie	Kate & Leopold	Kate & Leopold	0	2001.0		118	Comedy,Fantasy,Romance
tt0038698	short	A Little Phantasy on a Nineteenth Century Painting	A Little Phantasy on a Nineteenth Century Painting	0	2025.0		4	Animation,Short
tt0050396	short	Final Curtain	Final Curtain	0	2012.0		22	Horror,Short
tt0050734	movie	Musafir	Musafir	0	2025.0		149	Drama
tt0052146	short	Rondo	Rondo	0	2007.0		15	Short
tt0056840	short	Aufsätze	Aufsätze	0	2021.0		10	Short
tt0057369	short	Number 14: Late Superimpositions	Number 14: Late Superimpositions	0	2023.0		30	Short
tt0060361	short	EMS nr 1	EMS nr 1	0	2016.0		14	Short
tt0060366	short	A Embalagem de Vidro	A Embalagem de Vidro	0	2020.0		11	Documentary,Short
tt0062336	movie	The Tango of the Widower and Its Distorting Mirror	El tango del viudo y su espejo deformante	0	2020.0		70	Drama
tt0068943	short	Between Wroclaw and Zielona Góra	Miedzy Wroclawiem a Zielona Góra	0	2010.0		11	Documentary,Short
tt0069049	movie	The Other Side of the Wind	The Other Side of the Wind	0	2018.0		122	Drama
tt0070596	movie	Socialist Realism	El realismo socialista	0	2023.0		78	Drama,History
tt0072649	short	Um Aniversário	Um Aniversário	0	2025.0		23	Documentary,Short
tt0077684	movie	Histórias de Combóios em Portugal	Histórias de Combóios em Portugal	0	2022.0		46	Documentary
tt0080019	short	Thriller	Thriller	0	2017.0		34	Mystery,Short
tt0082328	movie	Embodiment of Evil	Encarnação do Demônio	0	2008.0		94	Horror
tt0083612	movie	The Prom	Der Ball	0	2002.0		50	Documentary
tt0088751	movie	The Naked Monster	The Naked Monster	0	2005.0		100	Comedy,Horror,Sci-Fi
tt0089435	short	Kokoa	Kokoa	0	2003.0		13	Animation,Short
tt0091465	short	Mallet-Stevens	Mallet-Stevens	0	2025.0		7	Drama,Short
tt0093119	movie	Grizzly II: Revenge	Grizzly II: The Predator	0	2020.0		74	Horror,Music,Thriller
tt0096056	movie	Crime and Punishment	Crime and Punishment	0	2002.0		126	Drama
tt0097304	movie	Everything's for You	Everything's for You	0	2009.0		58	Documentary
tt0097540	video	Responso	Responso	0	2004.0		81	
tt0097767	movie	Loading Ludwig	Loading Ludwig	0	2022.0		65	
tt0098388	short	Still Point	Still Point	0	2009.0		9	Short
tt0100275	movie	The Wandering Soap Opera	La Telenovela Errante	0	2017.0		80	Comedy,Drama,Fantasy
tt0102362	movie	Istota	Istota	0	2000.0		80	Drama,Romance
tt0103781	short	Beach Birds for Camera	Beach Birds for Camera	0	2024.0		28	Short
tt0107194	short	Imagine	Imagine	0	2002.0		22	Documentary,Short
tt0108116	movie	Shepherd on the Rock	Shepherd on the Rock	0	2014.0		90	Drama
tt0108270	short	Symphony 92.4 FM	Symphony 92.4 FM	0	2013.0			Short
tt0108511	movie	Die Wahlkämpfer	Die Wahlkämpfer	0	2001.0		97	Documentary
tt0108549	movie	West from North Goes South	West from North Goes South	0	2004.0		96	Comedy,Mystery
tt0109173	movie	Auf allen Meeren	Auf allen Meeren	0	2002.0		95	Documentary
tt0109766	short	Fado Lusitano	Fado Lusitano	0	2023.0		6	Animation,History,Short
tt0110476	movie	Master i Margarita	Master i Margarita	0	2006.0		125	Drama,Fantasy
tt0111056	tvSeries	Gensomaden Saiyuki	Gensomaden Saiyuki	0	2000.0	2001	23	Action,Adventure,Animation
tt0111414	movie	A Thin Life	A Thin Life	0	2018.0		75	Comedy
tt0111522	video	Twister: A Musical Catastrophe	Twister: A Musical Catastrophe	0	2000.0		128	Action,Comedy
tt0111596	movie	Vazir	Vazir	0	2015.0			Action,Crime,Drama
