tconst	averageRating	numVotes
tt0035423	6.4	92892
tt0038698	6.8	155
tt0050396	4.4	300
tt0052146	6.3	28
tt0056840	6.9	97
tt0057369	5.7	75
tt0060361	6.5	6
tt0062336	6.4	260
tt0068943	5.4	99
tt0069049	6.7	8410
tt0070596	6.9	191
tt0080019	5.9	155
tt0082328	5.9	1901
tt0083612	6.2	187
tt0088751	5.3	375
tt0089435	5.8	31
tt0091465	5.6	18
tt0093119	2.7	2204
tt0096056	5.5	937
tt0097304	6.9	18
tt0097540	7.2	10
tt0097767	7.0	7
tt0098388	5.8	20
tt0100275	6.5	443
tt0102362	6.3	19
tt0103781	8.2	9
tt0107194	8.6	16
tt0108116	5.9	104
tt0108511	6.8	19
tt0108549	7.7	43
tt0109173	7.8	30
tt0109766	6.5	55
tt0110476	6.4	759
tt0111056	7.2	298
tt0111522	7.5	27
tt0111596	8.2	71
tt0111696	6.5	52
tt0112502	4.6	46
tt0112912	4.9	17
tt0113026	5.7	1479
tt0113086	7.0	23
tt0113092	3.4	863
tt0113506	4.7	243
tt0113946	6.6	27
tt0114447	4.1	182
tt0114722	7.1	41
tt0114755	7.7	109
tt0115686	6.4	36
tt0115937	7.7	16
tt0116391	6.3	294
tt0116628	6.3	67
tt0116748	3.7	321
tt0116991	7.1	86
tt0117163	6.6	61
tt0117461	6.3	30
tt0117707	6.0	47
tt0117743	6.8	67
tt0117825	4.2	62
tt0118141	5.2	1023
tt0118154	6.4	10
tt0118578	3.7	918
tt0118589	2.4	24427
tt0118652	4.9	2008
tt0118656	6.0	344
tt0118694	8.0	183710
tt0118710	6.8	162
tt0118837	5.6	207
tt0118852	7.0	4943
tt0118911	5.5	200
tt0118926	6.9	7190
tt0119004	5.5	4980
tt0119027	4.9	61
tt0119231	4.3	200
tt0119273	5.4	10063
tt0119483	7.1	30
tt0119495	5.1	162
tt0119645	4.2	22
tt0119727	5.0	123
tt0119806	5.7	50
tt0119866	5.4	103
tt0119966	6.7	13
tt0119970	5.8	137
tt0119980	6.5	81
tt0120117	4.7	569
tt0120166	4.2	788
tt0120202	6.7	23395
tt0120263	7.5	21296
tt0120377	8.1	16
tt0120454	7.2	508
tt0120467	5.2	4402
tt0120485	6.4	69
tt0120589	7.2	546
tt0120607	4.9	91
tt0120624	6.7	187
tt0120626	7.1	3589
tt0120630	7.1	222567
tt0120667	5.7	369727
tt0120673	6.4	38
tt0120679	7.3	100699
tt0120681	6.7	170513
tt0120698	4.5	384
tt0120733	5.6	415
tt0120737	8.9	2160893
tt0120753	5.7	23090
tt0120755	6.1	407913
tt0120804	6.6	305230
tt0120807	4.8	340
tt0120824	6.7	34623
tt0120870	5.0	81
tt0120903	7.3	683432
tt0120912	6.2	425925
tt0120913	6.6	66070
tt0120917	7.4	243631
tt0121164	7.4	323219
tt0121765	6.6	806719
tt0121766	7.6	904660
tt0121919	6.7	8
tt0122247	5.2	829
tt0122459	7.0	24677
tt0122936	4.0	6
tt0123003	6.0	1660
tt0123063	6.8	157
tt0123581	4.9	86
tt0123783	5.9	14
tt0124798	5.0	20
tt0124889	5.3	123
tt0125022	6.3	61436
tt0125741	7.7	14
tt0126029	7.9	793758
tt0126486	6.8	110
tt0126899	2.8	119
tt0127283	6.4	96
tt0127349	6.4	7921
tt0128154	7.5	22
tt0128158	5.0	111
tt0128165	4.3	124
tt0128216	2.8	298
tt0128234	6.5	9
tt0128585	9.2	14
tt0128783	7.2	23
tt0128997	5.6	19
tt0129095	9.0	20
tt0130071	7.5	17
tt0130186	6.6	556
tt0130255	5.2	97
tt0130623	6.4	71717
tt0130925	7.1	57
tt0130975	7.5	21
tt0131002	6.7	31
tt0131025	6.0	30
tt0131076	6.3	25
tt0131096	6.0	375
tt0131266	6.0	11
tt0131370	8.5	14
tt0131597	5.0	33
tt0131704	4.3	21795
tt0132078	6.0	245
tt0132245	4.6	44818
tt0132885	4.6	419
tt0132910	4.9	13638
tt0132920	4.6	845
tt0132942	4.8	13
tt0133063	7.3	342
tt0133152	5.7	240092
tt0133240	7.2	145070
tt0133696	7.0	30
tt0133858	7.6	69
tt0134084	5.7	179307
tt0134630	6.1	10441
tt0134847	7.0	261754
tt0134983	4.9	20646
tt0135240	7.2	145
tt0135707	6.3	437
tt0135986	5.0	16
tt0135991	4.1	185
tt0136517	3.6	134
tt0136666	4.7	41
tt0137115	7.1	63
tt0137140	7.2	9
tt0137204	8.7	297
tt0137210	8.4	26
tt0137268	5.6	329
tt0137818	4.5	40
tt0138288	6.4	84
tt0138353	5.7	673
tt0138408	4.6	438
tt0138432	5.9	71
tt0138433	4.0	206
tt0138524	6.3	104954
tt0138583	6.2	13
tt0138631	5.6	305
tt0138749	6.9	117199
tt0138818	6.5	117
tt0138856	7.3	16
tt0138927	6.5	466
tt0138946	6.4	24337
tt0138992	5.5	196
tt0139159	7.7	13
tt0139388	5.6	2904
tt0139494	6.5	10
tt0139500	7.0	1865
tt0139514	7.9	15
tt0139654	7.8	507327
tt0140806	6.8	118
tt0141120	4.0	398
tt0141399	5.4	2642
tt0141800	6.8	82
tt0141907	4.5	5447
tt0141926	6.6	91119
tt0142155	6.0	75
tt0142261	6.1	114
tt0142634	3.3	796
tt0142650	4.7	287
tt0143344	4.1	233
tt0143558	5.2	79
tt0143861	7.8	2973
tt0144084	7.6	811108
tt0144096	4.3	894
tt0144136	6.1	27
tt0144142	5.1	4153
tt0144189	4.1	227
tt0144280	4.2	87
tt0144449	7.9	10
tt0144528	4.5	55181
tt0144574	6.5	101
tt0144608	4.4	753
tt0144678	4.7	174
tt0144940	8.1	53
tt0144964	4.6	22016
tt0145467	5.7	150
tt0145487	7.4	947360
tt0145937	6.4	6500
tt0146063	6.4	418
tt0146272	4.5	146
tt0146309	7.3	65965
tt0146316	5.8	228079
tt0146592	6.7	556
tt0146682	9.6	481
tt0146803	5.7	507
tt0146882	7.4	197413
tt0146984	6.7	61649
tt0147447	5.6	14
tt0147486	4.2	136
tt0148095	5.7	172
tt0148403	5.0	74
tt0148415	4.1	76
tt0148421	6.6	368
tt0149253	5.9	241
tt0149367	6.3	6752
tt0149624	5.8	16229
tt0150021	4.6	2363
tt0151018	7.1	21
tt0151150	6.1	11666
tt0151187	5.3	24
tt0151299	5.2	23
tt0151309	5.7	159
tt0151372	7.1	387
tt0151379	8.7	104
tt0151685	7.4	23
tt0152083	5.8	94
tt0152167	6.1	12
tt0152762	8.6	11
tt0153012	4.1	136
tt0153098	4.8	380
tt0153100	7.0	51
tt0153140	5.9	215
tt0153464	6.0	2939
tt0153533	3.3	123
tt0153821	5.5	43
tt0154039	4.6	101
tt0154065	6.2	175
tt0154187	6.6	130
tt0154352	7.2	84
tt0154605	7.8	11
tt0155150	4.8	452
tt0155174	7.7	169
tt0155425	5.8	701
tt0156020	6.1	753
tt0156035	8.5	15
tt0156100	3.9	152
tt0156263	7.7	15
tt0156323	5.7	9917
tt0156376	5.6	128
tt0156741	4.9	761
tt0156757	5.9	2190
tt0156807	4.4	1254
tt0156812	7.0	21942
tt0156841	4.7	12039
tt0156942	5.4	202
tt0157007	3.7	381
tt0157122	7.4	3875
